Soil;G;qt ;fs;u;gamma;mq;Rf
Mining tailing - bauxit;"2,973";"219,73";"7,96";"111,13";"16,091";"38,54912281";"4,18"
Mining tailing - bauxit;"2,977";"244,62";"6,96";"130,97";"17,254";"36,51044776";"2,92"
Mining tailing - bauxit;"3,032";"895,16";"16,2";"87,17";"17,319";"116,2545455";"3,04"
Clay;"2,595";"726,04";"11,78";"317,27";"13,268";"80,67111111";"1,36"
Clay;"2,62";"251,371313";"6,032049567";"135,2722433";"13,612";"50,2742626";"3,23"
Clay;"2,597";"274,509725";"9,071343733";"153,11905";"13,661";"49,91085909";"3,98"
Clay;"2,59";"357,717439";"10,13010643";"179,74503";"13,474";"57,69636113";"2,96"
Clay;"2,602";"439,34";"9,8";"198,84";"13,18";"82,89433962";"2,91"
Clay;"2,626";"547,78";"14,26";"264,49";"13,072";"73,03733333";3
Clay;"2,573";"892,21";"18,87";"397,15";"13,308";"91,04183673";"2,5"
Clay;"2,606";"544,25";"10,26";"237,76";"14,328";"86,38888889";"2,01"
Clay;"2,624";"535,99";"9,33";"243,75";"14,031";"77,67971014";"1,77"
Clay;"2,605";"534,3";"10,86";"253,33";"13,857";"71,24";"2,3"
Clay;"2,625";"597,66";"14,07";"254,15";"15,308";"87,89117647";"2,54"
Clay;"2,609";"598,94";"13,37";"262,48";"15,622";"80,93783784";"2,7"
Clay;"2,625";"570,58";"12,55";"267,48";"14,082";"71,3225";"2,73"
Clay;"2,619";"537,6312663";"11,6271817";"265,8960767";"17,976";"84,00488536";"2,1"
Clay;"2,617";"729,215352";"15,06799733";"331,1086067";"14,161";"86,81135143";"2,04"
Clay;"2,617";"696,8643613";"15,424295";"348,34526";"13,974";"64,5244779";"2,54"
Clay;"2,607";"477,513899";"11,1882928";"211,1085633";"14,612";"64,52890527";"1,68"
Clay;"2,59";"700,5492467";"14,10849233";"352,7552333";"13,298";"73,74202597";"2,56"
Clay;"2,584";"965,5060313";"16,537958";"470,81376";"13,268";"81,82254503";"1,86"
Clay;"2,599";"1319,79";"2,96";"37,19";"15,043";"244,4055556";"0,16"
Clay;"2,542";"1471,58";"26,91";"61,05";"15,436";"198,8621622";"1,13"
Clay;"2,542";796;"-0,35";"406,82";"12,798";"76,53846154";"-0,1"
Clay;"2,222";"238,074214";"1,491611067";"131,1178133";"11,552";"32,17219108";"0,96"
Clay;"2,602";"663,8795736";"7,425893367";"77,27065633";"14,837";"82,9849467";"1,2"
Clay;"1,852";"124,4655518";"3,365089833";"56,932576";"10,699";"22,22599139";"4,89"
Clay;"2,621";"313,8269657";"4,3150964";"90,20454133";"16,103";"37,36035306";"1,74"
Clay;"2,291";"124,28";"6,76";"83,84";"12,327";"17,75428571";"6,95"
Clay;"2,291";"149,77";"5,43";"97,37";"12,327";"20,23918919";"4,42"
Clay;"2,62";"157,94";"5,81";"101,37";"16,701";"20,78157895";"4,97"
Clay;"2,672";"391,78";"9,85";"124,04";"19,515";"45,55581395";"4,03"
Clay;"1,353";"194,03";"16,72";"24,77";"9,64";"64,67666667";"10,5"
Clay;"1,826";"212,54";"17,33";"47,15";"11,219";"42,508";"6,96"
Clay;"2,745";"250,45";"3,49";"34,71";"17,662";"100,18";"0,4"
Clay;"2,674";"441,13";"4,82";"73,77";"18,77";"142,3";"0,9"
Clay;"1,548";"347,2";"9,89";"40,57";"10,199";"115,7333333";"2,55"
Clay;"2,64";"234,69";"2,75";"97,22";"17,524";"46,938";1
Clay;"1,465";"483,09";"13,27";"33,13";"9,856";"161,03";"6,34"
Clay;"2,581";"520,57";"22,24";"61,17";"16,416";"104,114";"4,8"
Clay;"2,648";"405,19";"15,68";"74,87";"18,584";"72,35535714";"5,63"
Clay;"2,659";"615,69";"0,12";"87,64";"16,563";"68,41";"-0,02"
Clay;"2,72";"324,68";"20,28";"52,79";"17,171";"108,2266667";"6,26"
